ID,N_replicates,N_chains,Seeds,ipTM_LCB,Sum_CONTACTS,CONTACTS_HBOND,CONTACTS_SALT_BRIDGE,CONTACTS_HYDROPHOBIC,CONTACTS_DISULFIDE,CONTACTS_VDW,BSA_INT_PROTO,SD_THETA_ROT,S_PROTO,D_APEX,SD_THETA_APEX,THETA_APEX_mean,THETA_APEX_sd,L_APEX_mean,L_APEX_sd,H_ABS_mean,H_ABS_sd,MU_H_mean,MU_H_sd,ALPHA1_LINEARITY_mean,ALPHA1_LINEARITY_sd,ALPHA1_PLDDT_mean,ALPHA1_PLDDT_sd,D_MHD_P_mean,D_MHD_P_sd,D_CC_NB_LINKER_mean,D_CC_NB_LINKER_sd,L_CC_NB_LINKER_mean,L_CC_NB_LINKER_sd,ipTM_mean,ipTM_sd,Sum_CONTACTS_mean,Sum_CONTACTS_sd,CONTACTS_HBOND_mean,CONTACTS_HBOND_sd,CONTACTS_SALT_BRIDGE_mean,CONTACTS_SALT_BRIDGE_sd,CONTACTS_HYDROPHOBIC_mean,CONTACTS_HYDROPHOBIC_sd,CONTACTS_DISULFIDE_mean,CONTACTS_DISULFIDE_sd,CONTACTS_VDW_mean,CONTACTS_VDW_sd,BSA_INT_PROTO_mean,BSA_INT_PROTO_sd,SD_THETA_ROT_mean,SD_THETA_ROT_sd,SD_THETA_APEX_mean,SD_THETA_APEX_sd,S_PROTO_mean,S_PROTO_sd,D_APEX_mean,D_APEX_sd
gca_000390325_3_nicotiana_tomentosiformis_helixer_cm066016_1_002217_1_cnl,3,6,"[1, 2, 3]",0.260788,0.0,0.0,0.0,0.0,0.0,0.0,868.406347,13.675818,0.294382,96.27044,,,,,,-0.347849,0.044257,,,,,,,13.341667,2.263598,15.354444,0.074337,5.0,0.0,0.34,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.277992,139.511077,4.8039,7.840108,,,0.215,0.07015,61.636667,30.605845
gob_00000000002_physalis_grisea_helixer_chr10_000126_1_cnl,3,6,"[1, 2, 3]",0.6004,121.133001,5.773806,18.803434,20.043436,0.0,72.900137,1560.343872,0.192663,0.106738,47.727752,0.386551,46.175,4.847323,20.0,0.0,-0.125021,0.035284,0.2123,0.0,0.926061,0.000876,76.269444,0.853493,15.357778,0.009766,4.458889,1.070558,-1.0,1.732051,0.62,0.017321,148.548409,24.22698,6.297421,0.462719,22.338972,3.124353,35.266034,13.4522,0.0,0.0,83.742378,9.581282,1739.491863,158.312971,0.1152,0.068454,0.211033,0.155105,0.065667,0.036295,47.263333,0.410406
gob_00000000002_physalis_grisea_helixer_chr12_000966_1_cnl,3,6,"[1, 2, 3]",0.778684,221.854636,17.79921,17.634413,48.446578,0.0,130.0657,2504.780303,0.146381,0.037281,21.3192,0.281281,44.942222,0.325006,21.0,0.0,-0.257087,0.013161,0.1918,0.0,0.938972,0.000266,88.531667,1.110842,14.710556,0.097842,10.738889,1.388257,-7.333333,0.57735,0.79,0.01,256.218284,30.367134,20.617926,2.490898,23.94062,5.572791,52.719878,3.776312,0.0,0.0,157.723538,24.441215,2705.647686,177.506384,0.103067,0.038277,0.234567,0.041281,0.029333,0.007024,20.953333,0.323316
gob_00000000002_physalis_grisea_helixer_chr2_001703_1_cnl,3,6,"[1, 2, 3]",0.7504,229.425451,15.164217,14.87404,55.09619,0.0,133.892262,1975.092839,0.142729,0.074788,21.568187,0.315701,46.645,0.310354,21.0,0.0,-0.324849,0.00559,0.2607,0.0,0.938044,0.0003,86.551667,0.591805,15.113333,0.057951,25.669444,3.433557,12.333333,2.886751,0.77,0.017321,247.159135,15.671245,19.721484,4.027254,16.675556,1.591999,62.578942,6.612504,0.0,0.0,146.659843,11.282704,2043.874743,60.782527,0.103467,0.034696,0.240333,0.066602,0.047,0.024556,21.126667,0.390171
gob_00000000002_physalis_grisea_helixer_chr2_001704_1_cnl,3,6,"[1, 2, 3]",0.603315,206.109196,20.969432,14.07171,32.09415,0.0,134.51601,1576.58112,0.141747,0.09203,52.559657,0.291993,36.717778,9.58051,21.0,0.0,-0.258326,0.075366,0.2607,0.0,0.925511,0.016221,76.246111,11.564576,15.147222,0.076273,31.314444,3.285822,14.666667,2.516611,0.7,0.08544,231.283798,22.24678,23.716483,2.427568,16.875841,2.478008,46.568886,12.791315,0.0,0.0,142.735312,7.263392,1827.123477,221.404128,0.1001,0.036804,0.227667,0.056845,0.07,0.019468,36.383333,14.295007
gca_000715095_1_nicotiana_tabacum_helixer_awok01s169090_1_000001_1_cnl,3,6,"[1, 2, 3]",0.652096,164.778161,10.293741,10.142594,31.391202,0.0,110.100991,1642.525665,0.187288,0.099434,44.022974,0.466989,43.108333,3.145243,21.0,0.0,-0.162835,0.04082,0.2422,0.0,0.929522,0.0037,78.28,0.917828,14.82,0.105633,27.356667,1.064875,9.666667,1.154701,0.686667,0.030551,185.455059,18.272162,11.937909,1.45295,11.429748,1.137456,37.463482,5.36607,0.0,0.0,123.378878,11.733661,1771.213839,113.721661,0.134767,0.046413,0.3247,0.125741,0.057667,0.03691,41.52,2.211877
gob_00000000002_physalis_grisea_helixer_chr2_001705_1_cnl,3,6,"[1, 2, 3]",0.318313,9.591607,0.105541,-0.436263,12.287255,0.0,-2.707625,1265.927926,0.155687,0.194302,51.217468,0.520352,46.370833,2.893245,21.0,0.0,-0.334925,0.10413,0.2242,0.0,0.920894,0.022095,74.896111,8.587154,14.068889,2.194448,27.491667,1.275948,12.888889,0.83887,0.536667,0.192959,122.418039,99.704649,8.648932,7.549789,7.621005,7.120203,31.0193,16.553497,0.0,0.0,73.348517,67.210766,1697.293151,381.197187,0.1302,0.022523,0.3073,0.153725,0.116,0.069195,38.26,11.450507
gob_00000000002_physalis_grisea_helixer_chr2_002651_1_cnl,3,6,"[1, 2, 3]",0.657368,256.724561,24.293384,16.197786,37.004748,0.0,171.83511,2149.440611,0.162422,0.08297,16.485767,,,,,,-0.045142,0.010097,,,,,,,15.258333,0.044814,42.951111,2.18495,21.0,0.0,0.68,0.02,286.699995,26.489273,29.146338,4.288552,18.18522,1.756294,51.064676,12.42475,0.0,0.0,186.985462,13.388357,2312.296241,143.915421,0.1206,0.036958,,,0.068,0.013229,15.256667,1.086155
gob_00000000002_physalis_grisea_helixer_chr4_000024_1_cnl,3,6,"[1, 2, 3]",0.690267,257.043989,26.585554,14.773296,49.783911,0.0,162.637581,2073.297231,0.125057,0.089131,48.063264,,,,,,-0.134519,0.062084,,,,,,,15.127778,0.091414,35.076667,0.468458,18.0,0.0,0.703333,0.011547,278.155734,18.656436,27.975641,1.228419,16.946753,1.920683,54.217599,3.918048,0.0,0.0,178.45767,13.980203,2281.961823,184.396773,0.0955,0.02612,,,0.076667,0.011015,26.046667,19.456054
gob_00000000002_physalis_grisea_helixer_chr4_000025_1_cnl,3,6,"[1, 2, 3]",0.6968,307.891681,30.914332,17.695565,54.327727,0.0,191.133654,2303.450699,0.23072,0.096358,42.426742,,,,,,-0.081991,0.022842,,,,,,,15.151667,0.233387,18.986111,18.561144,7.111111,11.001683,0.703333,0.005774,312.752105,4.295154,31.732578,0.723083,21.613532,3.462305,60.453717,5.413534,0.0,0.0,197.307711,5.456011,2466.329109,143.935552,0.1259,0.09263,,,0.069667,0.023587,23.833333,16.430984
