#                                                                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
gca_029948455_1_solanum_rostratum_helixer_cm057053_1_000712_1_cnl            -            495 MADA                 -             21   6.3e-10   34.0   1.7   1   1   1.9e-09   2.2e-09   32.3   1.7     1    21     1    21     1    21 0.98 -
gca_000390325_3_nicotiana_tomentosiformis_helixer_cm066018_1_000387_1_cnl    -            500 MADA                 -             21   7.6e-10   33.7   1.8   1   1   3.1e-09   3.7e-09   31.6   1.8     1    21     1    21     1    21 0.98 -
gca_020169555_1_solanum_tuberosum_helixer_cm035015_1_000055_1_cnl            -            568 MADA                 -             21   7.8e-10   33.7   1.4   1   1   3.3e-09   3.9e-09   31.5   1.4     1    21     1    21     1    21 0.97 -
gob_00000000002_physalis_grisea_helixer_chr2_001704_1_cnl                    -            489 MADA                 -             21   8.3e-10   33.6   0.9   1   1   2.6e-09   3.1e-09   31.8   0.9     1    21     1    21     1    21 0.97 -
gca_009887355_1_solanum_pinnatisectum_helixer_cp047561_1_000049_1_cnl        -            481 MADA                 -             21   8.5e-10   33.6   1.4   1   1   2.7e-09   3.2e-09   31.8   1.4     1    21     1    21     1    21 0.97 -
gol_00000000003_solanum_tuberosum_helixer_e86_69_hptg0064_000186_1_cnl       -            493 MADA                 -             21   9.1e-10   33.5   1.4   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gcf_029784015_1_lycium_ferocissimum_helixer_nc_081347_1_001839_1_cnl         -            511 MADA                 -             21     1e-09   33.3   1.4   1   1   2.9e-09   3.5e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gca_031232105_1_capsicum_rhomboideum_helixer_cp124715_1_001119_1_cnl         -            494 MADA                 -             21   1.1e-09   33.2   1.4   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gca_031232105_1_capsicum_rhomboideum_helixer_cp124715_1_001786_1_cnl         -            492 MADA                 -             21   1.3e-09   33.0   0.9   1   1   3.8e-09   4.5e-09   31.3   0.9     1    21     1    21     1    21 0.98 -
gca_035772735_1_datura_wrightii_helixer_jasdfa010000003_1_000997_1_cnl       -            497 MADA                 -             21   1.3e-09   33.0   0.8   1   1   3.2e-09   3.8e-09   31.5   0.8     1    21     1    21     1    21 0.98 -
gca_037074985_1_solanum_bulbocastanum_helixer_cm073600_1_000063_1_cnl        -            489 MADA                 -             21   1.3e-09   33.0   1.4   1   1   2.8e-09   3.3e-09   31.8   1.4     1    21     1    21     1    21 0.97 -
gca_029948455_1_solanum_rostratum_helixer_cm057053_1_001490_1_cnl            -            493 MADA                 -             21   1.4e-09   32.9   1.8   1   1   3.1e-09   3.7e-09   31.6   1.8     1    21     1    21     1    21 0.98 -
gob_00000000001_solanum_abutiloides_helixer_chr4_000453_1_cnl                -            493 MADA                 -             21   1.4e-09   32.9   1.8   1   1   3.1e-09   3.7e-09   31.6   1.8     1    21     1    21     1    21 0.98 -
gob_00000000011_solanum_havanense_helixer_chr4_000390_1_cnl                  -            489 MADA                 -             21   1.5e-09   32.9   1.8   1   1   3.1e-09   3.6e-09   31.6   1.8     1    21     1    21     1    21 0.98 -
gca_036553675_1_solanum_okadae_helixer_cm071681_1_000083_1_cnl               -            493 MADA                 -             21   1.5e-09   32.8   4.2   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gol_00000000020_solanum_multiinterruptum_helixer_pg4060_atg0320_000074_1_cnl -            494 MADA                 -             21   1.5e-09   32.8   3.4   1   1   2.7e-09   3.2e-09   31.8   0.9     1    21     1    21     1    21 0.97 -
gol_00000000016_solanum_vernei_helixer_pg4036_atg0171_000068_1_cnl           -            462 MADA                 -             21   1.6e-09   32.7   4.2   1   1   2.6e-09   3.1e-09   31.8   1.4     1    21     1    21     1    21 0.97 -
gca_041222595_1_solanum_tuberosum_helixer_cm083533_1_002184_1_cnl            -            466 MADA                 -             21   1.7e-09   32.7   4.2   1   1   2.6e-09   3.1e-09   31.8   1.4     1    21     1    21     1    21 0.97 -
gol_00000000014_solanum_lignicaule_helixer_pg4017_ptg0066_000708_1_cnl       -            494 MADA                 -             21   1.8e-09   32.6   4.2   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gol_00000000038_solanum_cajamarquense_helixer_pg6242_ptg0002_000061_1_cnl    -            488 MADA                 -             21   1.8e-09   32.6   4.2   1   1   2.8e-09   3.3e-09   31.8   1.4     1    21     1    21     1    21 0.97 -
gol_00000000010_solanum_chomatophilum_helixer_pg3005_atg0024_000063_1_cnl    -            487 MADA                 -             21   1.8e-09   32.6   4.2   1   1   2.8e-09   3.3e-09   31.8   1.4     1    21     1    21     1    21 0.97 -
gol_00000000022_solanum_candolleanum_helixer_pg5018_atg0240_000011_1_cnl     -            484 MADA                 -             21   1.8e-09   32.6   4.2   1   1   2.7e-09   3.3e-09   31.8   1.4     1    21     1    21     1    21 0.97 -
gob_00000000031_solanum_robustum_helixer_chr4_002239_1_cnl                   -            495 MADA                 -             21   1.8e-09   32.6   1.7   1   1   1.5e-09   1.8e-09   32.6   1.7     1    21     1    21     1    21 0.98 -
gol_00000000010_solanum_chomatophilum_helixer_pg3005_ptg0014_000074_1_cnl    -            493 MADA                 -             21   1.8e-09   32.5   4.2   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
goa_00000000039_solanum_tuberosum_helixer_chr04_hap15_v2_000086_1_cnl        -            493 MADA                 -             21   1.8e-09   32.5   4.2   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gca_031230405_1_solanum_verrucosum_helixer_cp133615_1_000062_1_cnl           -            493 MADA                 -             21   1.9e-09   32.5   4.2   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gcf_019186545_1_solanum_stenotomum_helixer_nc_064283_1_001659_1_cnl          -            494 MADA                 -             21   1.9e-09   32.5   4.2   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gol_00000000017_solanum_buesii_helixer_pg4041_ptg0007_000743_1_cnl           -            498 MADA                 -             21     2e-09   32.5   4.2   1   1   2.8e-09   3.4e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gcf_029784015_1_lycium_ferocissimum_helixer_nc_081347_1_001840_1_cnl         -            503 MADA                 -             21     2e-09   32.5   1.4   1   1   3.9e-09   4.7e-09   31.3   0.9     1    21     1    21     1    21 0.97 -
gol_00000000023_solanum_brevicaule_helixer_pg5032_atg0923_000017_1_cnl       -            493 MADA                 -             21     2e-09   32.4   4.2   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gol_00000000004_solanum_palustre_helixer_pg0009_tig00065009_000354_1_cnl     -            493 MADA                 -             21     2e-09   32.4   4.2   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
goc_00000000020_solanum_candolleanum_helixer_c419_h2_chr4_2_000071_1_cnl     -            546 MADA                 -             21     2e-09   32.4   4.2   1   1   3.2e-09   3.8e-09   31.6   1.4     1    21     1    21     1    21 0.97 -
gol_00000000018_solanum_chacoense_helixer_pg4042_ptg0040_000756_1_cnl        -            495 MADA                 -             21     2e-09   32.4   4.2   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gcf_019175385_1_lycium_barbarum_helixer_nc_083346_1_002029_1_cnl             -            528 MADA                 -             21   2.1e-09   32.4   1.4   1   1   4.2e-09     5e-09   31.2   0.9     1    21     1    21     1    21 0.97 -
gol_00000000009_solanum_andreanum_helixer_pg3003_ptg0029_000611_1_cnl        -            494 MADA                 -             21   2.2e-09   32.3   1.6   1   1   5.4e-09   6.4e-09   30.8   1.6     1    21     1    21     1    21 0.98 -
gca_029783415_1_anisodus_acutangulus_helixer_cm056493_1_000284_1_cnl         -            496 MADA                 -             21   2.5e-09   32.1   1.2   1   1   6.5e-09   7.7e-09   30.6   1.2     1    21     1    21     1    21 0.98 -
gob_00000000029_solanum_pseudolulo_helixer_chr4_000488_1_cnl                 -            495 MADA                 -             21   2.8e-09   32.0   2.7   1   1     1e-08   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
gob_00000000010_solanum_giganteum_helixer_chr4_001916_1_cnl                  -            494 MADA                 -             21   2.9e-09   32.0   0.8   1   1   1.1e-08   1.3e-08   29.9   0.8     1    21     1    21     1    21 0.97 -
gca_964243065_1_solanum_nigrum_helixer_oz176031_1_002116_1_cnl               -            489 MADA                 -             21   2.9e-09   31.9   1.8   1   1   6.5e-09   7.7e-09   30.6   1.8     1    21     1    21     1    21 0.98 -
gca_022817965_1_solanum_lycopersicoides_helixer_cm040621_1_003316_1_cnl      -            458 MADA                 -             21     3e-09   31.9   1.4   1   1   2.6e-09     3e-09   31.9   1.4     1    21     1    21     1    21 0.97 -
gca_009827155_1_solanum_tuberosum_helixer_cp046685_1_000054_1_cnl            -            461 MADA                 -             21   3.1e-09   31.9   1.4   1   1   2.6e-09   3.1e-09   31.9   1.4     1    21     1    21     1    21 0.97 -
gob_00000000031_solanum_robustum_helixer_chr7_000593_1_cnl                   -            494 MADA                 -             21   3.1e-09   31.8   1.1   1   1     1e-08   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
gob_00000000002_physalis_grisea_helixer_chr2_001703_1_cnl                    -            494 MADA                 -             21   3.2e-09   31.8   0.9   1   1   2.7e-09   3.2e-09   31.8   0.9     1    21     1    21     1    21 0.97 -
gca_029948455_1_solanum_rostratum_helixer_cm057053_1_000713_1_cnl            -            494 MADA                 -             21   3.2e-09   31.8   1.3   1   1   2.7e-09   3.2e-09   31.8   1.3     1    21     1    21     1    21 0.98 -
gob_00000000007_solanum_citrullifolium_helixer_chr4_001718_1_cnl             -            495 MADA                 -             21   3.3e-09   31.8   1.5   1   1   1.1e-08   1.3e-08   29.9   1.5     1    21     1    21     1    21 0.98 -
goc_00000000011_solanum_candolleanum_helixer_c497_h1_chr4_1_000063_1_cnl     -            488 MADA                 -             21   3.3e-09   31.8   1.4   1   1   2.8e-09   3.3e-09   31.8   1.4     1    21     1    21     1    21 0.97 -
gol_00000000020_solanum_multiinterruptum_helixer_pg4060_atg0320_000069_1_cnl -            488 MADA                 -             21   3.3e-09   31.8   1.4   1   1   2.8e-09   3.3e-09   31.8   1.4     1    21     1    21     1    21 0.97 -
gol_00000000003_solanum_tuberosum_helixer_e86_69_hptg0064_000068_1_cnl       -            489 MADA                 -             21   3.3e-09   31.8   1.4   1   1   2.8e-09   3.3e-09   31.8   1.4     1    21     1    21     1    21 0.97 -
gca_022817965_1_solanum_lycopersicoides_helixer_cm040621_1_000131_1_cnl      -            493 MADA                 -             21   3.3e-09   31.7   1.4   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
goa_00000000006_solanum_tuberosum_helixer_chr04_hap14_v2_000051_1_cnl        -            493 MADA                 -             21   3.3e-09   31.7   1.4   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
goa_00000000006_solanum_tuberosum_helixer_chr04_hap14_v2_000053_1_cnl        -            493 MADA                 -             21   3.3e-09   31.7   1.4   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
goa_00000000009_solanum_tuberosum_helixer_chr04_hap13_v2_000061_1_cnl        -            493 MADA                 -             21   3.3e-09   31.7   1.4   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gob_00000000018_solanum_muricatum_helixer_chr4_000058_1_cnl                  -            493 MADA                 -             21   3.3e-09   31.7   1.4   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
goc_00000000003_solanum_tuberosum_helixer_e8669_h1_chr4_1_000059_1_cnl       -            493 MADA                 -             21   3.3e-09   31.7   1.4   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
goc_00000000030_solanum_tuberosum_helixer_c005_h2_chr4_2_000064_1_cnl        -            493 MADA                 -             21   3.3e-09   31.7   1.4   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gol_00000000006_solanum_jamesii_helixer_pg1008_ptg0014_000587_1_cnl          -            493 MADA                 -             21   3.3e-09   31.7   1.4   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gol_00000000012_solanum_piurae_helixer_pg3023_ptg0068_000079_1_cnl           -            493 MADA                 -             21   3.3e-09   31.7   1.4   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gol_00000000020_solanum_multiinterruptum_helixer_pg4060_atg0320_000071_1_cnl -            493 MADA                 -             21   3.3e-09   31.7   1.4   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gol_00000000038_solanum_cajamarquense_helixer_pg6242_ptg0002_000063_1_cnl    -            493 MADA                 -             21   3.3e-09   31.7   1.4   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gca_000393655_2_nicotiana_sylvestris_helixer_cm066006_1_002199_1_cnl         -            506 MADA                 -             21   3.3e-09   31.7   1.3   1   1   2.8e-09   3.3e-09   31.7   1.3     1    21     1    21     1    21 0.98 -
gca_041222595_1_solanum_tuberosum_helixer_cm083533_1_002187_1_cnl            -            494 MADA                 -             21   3.3e-09   31.7   1.4   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gol_00000000020_solanum_multiinterruptum_helixer_pg4060_ptg0007_000746_1_cnl -            494 MADA                 -             21   3.3e-09   31.7   1.4   1   1   2.8e-09   3.3e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gca_036553645_1_solanum_okadae_helixer_cm071693_1_000075_1_cnl               -            497 MADA                 -             21   3.4e-09   31.7   1.4   1   1   2.8e-09   3.4e-09   31.7   1.4     1    21     1    21     1    21 0.97 -
gob_00000000011_solanum_havanense_helixer_chr4_001694_1_cnl                  -            527 MADA                 -             21   3.4e-09   31.7   0.9   1   1   2.9e-09   3.4e-09   31.7   0.9     1    21     1    21     1    21 0.97 -
gob_00000000020_solanum_aethiopicum_helixer_chr4_000592_1_cnl                -            497 MADA                 -             21   3.5e-09   31.7   1.1   1   1   1.1e-08   1.3e-08   29.9   1.1     1    21     1    21     1    21 0.98 -
gob_00000000007_solanum_citrullifolium_helixer_chr4_000371_1_cnl             -            493 MADA                 -             21   3.7e-09   31.6   1.8   1   1   3.1e-09   3.7e-09   31.6   1.8     1    21     1    21     1    21 0.98 -
gob_00000000008_solanum_cleistogamum_helixer_chr4_000391_1_cnl               -            494 MADA                 -             21   3.7e-09   31.6   0.8   1   1   1.1e-08   1.3e-08   29.9   0.8     1    21     1    21     1    21 0.97 -
gca_964243065_1_solanum_nigrum_helixer_oz176031_1_002115_1_cnl               -            494 MADA                 -             21   3.7e-09   31.6   1.8   1   1   3.1e-09   3.7e-09   31.6   1.8     1    21     1    21     1    21 0.98 -
gca_015076265_1_solanum_tuberosum_helixer_cp055237_1_000097_1_cnl            -            489 MADA                 -             21   3.8e-09   31.5   1.1   1   1     1e-08   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
gob_00000000003_solanum_aethiopicum_helixer_chr7_000605_1_cnl                -            517 MADA                 -             21   3.9e-09   31.5   1.1   1   1   1.1e-08   1.3e-08   29.9   1.1     1    21     1    21     1    21 0.98 -
gwhcaww00000000_solanum_melongena_helixer_gwhcaww00000001_002219_1_cnl       -            488 MADA                 -             21   3.9e-09   31.5   0.8   1   1     1e-08   1.2e-08   30.0   0.8     1    21     1    21     1    21 0.97 -
goc_00000000009_solanum_candolleanum_helixer_c410_h1_chr4_1_003320_1_cnl     -            504 MADA                 -             21   3.9e-09   31.5   2.3   1   1   5.1e-09   6.1e-09   30.9   0.6     1    21     1    21     1    21 0.98 -
gca_003996215_1_jaltomata_sinuosa_helixer_qjpp01004458_1_000001_1_cnl        -            573 MADA                 -             21     4e-09   31.5   1.4   1   1   3.3e-09     4e-09   31.5   1.4     1    21     1    21     1    21 0.97 -
gol_00000000032_solanum_tuberosum_helixer_pg6148_ptg0012_000593_1_cnl        -            452 MADA                 -             21   4.1e-09   31.5   1.1   1   1   9.4e-09   1.1e-08   30.1   1.1     1    21     1    21     1    21 0.98 -
goc_00000000010_solanum_candolleanum_helixer_c410_h2_chr4_2_003389_1_cnl     -            459 MADA                 -             21   4.1e-09   31.5   1.1   1   1   9.6e-09   1.1e-08   30.1   1.1     1    21     1    21     1    21 0.98 -
gca_036553675_1_solanum_okadae_helixer_cm071681_1_000100_1_cnl               -            494 MADA                 -             21   4.2e-09   31.4   1.1   1   1     1e-08   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
gca_009887355_1_solanum_pinnatisectum_helixer_cp047561_1_003298_1_cnl        -            482 MADA                 -             21   4.2e-09   31.4   1.1   1   1     1e-08   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
gca_009827175_1_solanum_tuberosum_helixer_cp046699_1_003588_1_cnl            -            480 MADA                 -             21   4.3e-09   31.4   1.1   1   1     1e-08   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
gca_035578085_1_solanum_pinnatisectum_helixer_cm069079_1_002902_1_cnl        -            467 MADA                 -             21   4.4e-09   31.4   1.1   1   1   9.8e-09   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
gca_029948455_1_solanum_rostratum_helixer_cm057053_1_001489_1_cnl            -            488 MADA                 -             21   4.6e-09   31.3   1.1   1   1     1e-08   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
goa_00000000025_solanum_tuberosum_helixer_chr04_hap13_v2_003347_1_cnl        -            494 MADA                 -             21   4.6e-09   31.3   1.1   1   1     1e-08   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
gcf_947179165_1_solanum_dulcamara_helixer_nc_077246_1_001327_1_cnl           -            494 MADA                 -             21   4.6e-09   31.3   1.1   1   1     1e-08   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
goc_00000000036_solanum_tuberosum_helixer_c093_h2_chr4_2_003127_1_cnl        -            494 MADA                 -             21   4.6e-09   31.3   1.1   1   1     1e-08   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
gol_00000000031_solanum_tuberosum_helixer_pg6090_ptg0023_001087_1_cnl        -            494 MADA                 -             21   4.6e-09   31.3   1.1   1   1     1e-08   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
gcf_000226075_1_solanum_tuberosum_helixer_nw_006240007_1_000002_1_cnl        -            494 MADA                 -             21   4.6e-09   31.3   1.1   1   1     1e-08   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
gol_00000000015_solanum_sogarandinum_helixer_pg4032_ptg0030_000017_1_cnl     -            494 MADA                 -             21   4.7e-09   31.3   0.7   1   1     1e-08   1.2e-08   30.0   0.7     1    21     1    21     1    21 0.98 -
gca_036553675_1_solanum_okadae_helixer_cm071681_1_003365_1_cnl               -            494 MADA                 -             21   4.7e-09   31.3   1.1   1   1     1e-08   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
goc_00000000012_solanum_candolleanum_helixer_c497_h2_chr4_2_003242_1_cnl     -            476 MADA                 -             21   4.7e-09   31.3   1.1   1   1     1e-08   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
gol_00000000035_solanum_tuberosum_helixer_pg6216_ptg0026_000708_1_cnl        -            457 MADA                 -             21   4.7e-09   31.3   1.3   1   1   1.1e-08   1.3e-08   29.9   1.3     1    21     1    21     1    21 0.98 -
gca_031230405_1_solanum_verrucosum_helixer_cp133615_1_003178_1_cnl           -            494 MADA                 -             21   4.7e-09   31.3   1.1   1   1     1e-08   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
goc_00000000010_solanum_candolleanum_helixer_c410_h2_chr4_2_000082_1_cnl     -            457 MADA                 -             21   4.8e-09   31.3   1.3   1   1   1.1e-08   1.3e-08   29.9   1.3     1    21     1    21     1    21 0.98 -
goc_00000000009_solanum_candolleanum_helixer_c410_h1_chr4_1_000076_1_cnl     -            479 MADA                 -             21   4.8e-09   31.3   1.3   1   1   1.1e-08   1.4e-08   29.8   1.3     1    21     1    21     1    21 0.98 -
gol_00000000027_solanum_tuberosum_helixer_pg6002_ptg0106_000072_1_cnl        -            474 MADA                 -             21   4.8e-09   31.2   1.1   1   1   9.9e-09   1.2e-08   30.0   1.1     1    21     1    21     1    21 0.98 -
